Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,,
Date and Time,Time (s),Force 1 (N),Force 2 (N),Force 3 (N),Force 4 (N),,
8/15/2018 12:00,17.5,7.15,34.09,18.7,4.41,,
8/15/2018 12:00,17.55,6.88,43.69,28.39,14.2,,
8/15/2018 12:00,17.6,16.28,49.05,34.4,13.99,,
8/15/2018 12:00,17.65,21.1,54.45,35.42,14.41,,
8/15/2018 12:00,17.7,22.19,55.84,35.13,17.17,,
8/15/2018 12:00,17.75,23.83,57.88,29.16,21.39,,
8/15/2018 12:00,17.8,21.24,57.5,26.01,23.3,,
8/15/2018 12:00,17.85,18.27,55.22,23.27,21.43,,
8/15/2018 12:00,17.9,12.52,50.71,17.96,18.01,,
8/15/2018 12:00,17.95,6.32,45.52,14.13,14.52,,
8/15/2018 12:00,18,5.83,44.84,11.42,11.9,,
8/15/2018 12:00,18.05,5.45,44.07,12.43,13.19,,
8/15/2018 12:00,18.1,4.63,43.97,9.63,15.65,,
8/15/2018 12:00,18.15,4.96,42.58,11.57,14.22,,
8/15/2018 12:00,18.2,2.76,40.12,11.31,10.99,,
8/15/2018 12:00,18.25,-0.11,38.29,10.04,7.2,,
8/15/2018 12:00,18.3,-5.06,34.32,6.25,5.44,,
8/15/2018 12:00,18.35,-8.28,29.98,2.89,5.04,,
8/15/2018 12:00,18.4,-9.67,17.12,-3.09,4.84,,
8/15/2018 12:00,18.45,-11.19,-4.58,-7.09,6.39,,
8/15/2018 12:00,18.5,-12.35,-15.47,-17.71,11.07,,
8/15/2018 12:00,18.55,-12.55,-16.08,-20,4.55,,
8/15/2018 12:00,18.6,-12.64,-16.5,-21.54,5.37,,
8/15/2018 12:00,18.65,-12.68,-16.77,-20.77,5.1,,
8/15/2018 12:00,18.7,-10.96,-16.79,-21.36,6.61,,
8/15/2018 12:00,18.75,-11.19,-17.1,-19.46,-1.54,,
8/15/2018 12:00,18.8,-12.12,-17.32,-19.82,-1.11,,
8/15/2018 12:00,18.85,-12.18,-17.22,-20.18,-1.82,,
8/15/2018 12:00,18.9,-12.56,-17.01,-20.16,-1.82,,
8/15/2018 12:00,18.95,-12.46,-17,-20.25,-1.74,,
8/15/2018 12:00,19,-12.43,-12.32,-20.4,-1.51,,
8/15/2018 12:00,19.05,-12.37,-14.68,-20.44,-1.75,,
